B1,B2,B3,B4,B5,B6,B7,Class
325,434,638,729,1397,1729,1589,1
411,520,752,827,1417,1726,1670,1
347,467,673,765,1480,1735,1581,1
357,481,700,809,1457,1840,1773,1
341,440,661,756,1451,1884,1730,1
233,348,516,575,943,1042,973,1
259,376,577,665,1099,1319,1170,1
241,370,584,643,1071,1243,1154,1
260,389,560,643,1076,1260,1173,1
259,366,531,575,931,1014,969,1
250,365,533,592,951,1056,1006,1
245,366,556,620,1011,1142,1067,1
232,352,533,598,1022,1135,1040,1
258,364,535,597,996,1065,982,1
256,356,526,579,971,1041,989,1
243,350,538,628,1097,1238,1081,1
268,380,552,616,1055,1088,1018,1
290,392,560,613,1043,1246,1202,1
252,355,540,594,1008,1072,1012,1
229,353,554,607,1091,1212,1144,1
256,369,552,606,1021,1089,1018,1
249,369,561,623,1139,1243,1147,1
288,402,565,619,1035,1157,1131,1
287,386,537,582,992,1068,1007,1
258,365,537,588,1016,1064,986,1
228,351,547,611,1092,1183,1070,1
214,331,521,565,1030,1095,1011,1
294,380,527,557,955,1022,966,1
250,354,518,557,976,1021,944,1
253,378,584,650,1298,1549,1441,1
244,378,594,670,1262,1608,1546,1
291,403,596,663,1276,1561,1491,1
337,425,609,660,1264,1526,1474,1
238,346,501,558,920,1023,942,1
236,344,514,579,971,1087,989,1
273,379,529,592,993,1194,1110,1
246,350,501,562,934,1108,997,1
230,346,506,581,950,1146,1031,1
274,368,503,557,898,1082,996,1
296,423,601,694,1142,1548,1453,1
228,322,469,528,857,1005,916,1
245,337,470,518,816,964,925,1
221,346,521,603,973,1196,1093,1
265,381,570,657,1029,1326,1321,1
281,401,584,671,1105,1391,1265,1
261,372,541,614,989,1273,1197,1
244,357,523,596,957,1308,1239,1
277,390,563,645,1015,1338,1310,1
260,383,587,687,1250,1583,1407,1
245,364,589,673,1239,1615,1427,1
250,376,575,659,1245,1517,1377,1
257,374,590,660,1262,1504,1378,1
337,465,691,825,1452,1991,1701,1
300,427,661,805,1463,1986,1598,1
298,414,663,795,1390,1922,1634,1
314,427,658,801,1443,1991,1617,1
437,541,717,800,1332,1607,1542,1
340,457,644,721,1278,1468,1437,1
275,402,614,687,1215,1559,1565,1
290,424,621,702,1204,1452,1412,1
266,399,614,694,1223,1509,1392,1
270,400,606,678,1239,1539,1431,1
292,386,551,621,1034,1381,1292,1
294,386,565,648,1092,1503,1431,1
299,404,561,650,1075,1414,1341,1
279,381,550,625,1004,1320,1250,1
317,427,592,674,1123,1484,1391,1
282,379,569,656,1092,1468,1355,1
262,361,504,535,1001,1099,1062,1
208,326,503,553,1060,1139,1098,1
229,353,532,586,1086,1203,1196,1
214,338,516,557,1014,1135,1132,1
213,339,516,567,1031,1196,1193,1
308,399,540,583,1056,1174,1121,1
226,350,532,590,1063,1222,1221,1
314,389,536,576,1054,1175,1157,1
225,349,529,578,1049,1163,1164,1
280,406,603,688,1245,1506,1398,1
334,459,648,755,1364,1557,1487,1
286,411,611,692,1273,1492,1417,1
252,371,581,649,1204,1424,1352,1
261,393,595,681,1307,1502,1388,1
254,377,618,701,1275,1581,1487,1
289,387,562,656,1144,1455,1275,1
270,371,547,652,1148,1434,1284,1
254,363,538,637,1180,1537,1357,1
272,384,565,619,1049,1249,1181,1
240,350,535,582,1013,1128,1064,1
259,379,552,629,1104,1277,1222,1
246,352,538,598,1054,1186,1137,1
266,360,523,566,927,1067,1012,1
263,367,523,587,956,1109,1058,1
285,373,524,576,937,1058,1015,1
270,375,524,592,957,1168,1050,1
186,320,528,625,1039,1137,1020,1
195,338,551,643,1091,1210,1061,1
201,346,560,658,1139,1268,1097,1
175,316,539,624,1105,1204,1053,1
152,294,509,596,1007,1090,985,1
177,321,530,619,1044,1158,1034,1
264,390,607,712,1258,1505,1255,1
223,358,573,674,1156,1346,1173,1
259,389,595,701,1273,1610,1505,1
253,368,577,670,1264,1542,1376,1
267,396,606,705,1276,1605,1504,1
243,355,553,655,1305,1577,1375,1
233,359,584,685,1350,1622,1427,1
241,366,592,694,1341,1680,1559,1
222,346,557,658,1299,1561,1314,1
216,338,541,635,1291,1525,1280,1
177,324,532,635,1062,1261,1118,1
182,317,516,607,984,1130,1012,1
175,302,493,568,953,1141,1048,1
224,345,533,620,1001,1172,1066,1
215,337,536,629,1038,1233,1117,1
201,314,495,566,945,1137,1044,1
208,331,511,594,1000,1214,1094,1
232,345,530,613,986,1184,1115,1
227,345,530,612,992,1186,1097,1
222,340,521,618,1008,1236,1173,1
230,339,522,611,1030,1271,1139,1
234,343,521,615,993,1212,1121,1
222,346,573,674,1160,1467,1317,1
211,347,541,641,998,1223,1152,1
153,310,542,644,1111,1310,1163,1
182,323,544,644,1069,1244,1091,1
153,304,534,640,1116,1348,1174,1
176,325,545,644,1080,1254,1071,1
158,296,530,621,1060,1285,1128,1
188,327,547,658,1130,1339,1159,1
236,316,465,521,864,1007,943,1
214,308,468,538,912,1124,1014,1
221,318,473,530,865,1047,985,1
237,316,464,496,871,1062,1026,1
238,320,466,512,900,1048,989,1
246,332,489,537,934,1135,1072,1
212,308,464,521,878,1104,989,1
223,308,448,494,816,1005,942,1
225,313,462,511,834,1038,990,1
226,308,448,503,834,1008,953,1
230,319,457,499,867,1037,1010,1
222,315,451,490,835,993,955,1
244,324,467,517,883,1033,969,1
208,293,439,475,779,970,939,1
204,293,429,478,827,1011,974,1
223,314,450,488,843,1000,977,1
232,315,454,494,848,1019,982,1
245,319,468,514,873,1030,967,1
232,309,455,494,862,981,894,1
244,321,467,503,852,1026,1007,1
225,316,451,493,838,987,937,1
208,283,407,437,700,803,773,1
211,280,411,438,706,812,780,1
