B1,B2,B3,B4,B5,B6,B7,Class
10575,9719,8739,8442,10782,10993,9520,1
10605,9783,8788,8487,10986,11014,9469,1
10588,9776,8777,8508,10843,10990,9524,1
10581,9741,8749,8478,10729,11004,9530,1
10627,9786,8821,8541,11079,11259,9656,1
10620,9769,8760,8505,10762,11168,9738,1
10604,9787,8776,8519,10787,11148,9656,1
10609,9790,8815,8517,11125,11324,9705,1
10627,9786,8841,8606,11277,11468,9705,1
10634,9822,8826,8585,10835,11413,9922,1
10807,10028,9078,8895,11723,13287,11940,1
10745,9929,8977,8789,11224,12875,11723,1
10670,9828,8837,8705,11195,12775,11423,1
10558,9728,8717,8565,11289,12755,11117,1
10584,9739,8727,8446,11382,12460,11067,1
10590,9726,8776,8604,11472,12923,11193,1
10616,9757,8756,8599,11178,12689,11223,1
10685,9884,8878,8710,10996,12761,11776,1
10755,9945,8917,8697,10598,12646,12057,1
10713,9885,8974,8732,12021,13066,11350,1
10872,10078,9072,8927,11371,13087,11775,1
10531,9665,8736,8548,11469,12833,11160,1
10686,9852,8823,8618,10964,12954,11851,1
10741,9901,8893,8643,10728,12754,12039,1
10790,9959,8950,8716,10860,12745,12184,1
9938,9119,8161,7906,9268,10226,10376,1
9850,8986,7982,7704,8948,9979,10330,1
9945,9094,8143,7840,9385,10307,10511,1
9973,9184,8234,7960,9725,10692,11089,1
9907,9062,8139,7828,9230,10597,11196,1
9964,9146,8167,7865,9418,9917,10354,1
9877,8994,8033,7733,8972,10157,9993,1
9913,9073,8088,7787,9124,10158,10258,1
9939,9101,8171,7909,9335,10611,11236,1
9927,9100,8191,7928,9513,10421,11237,1
9939,9116,8119,7779,9332,9858,9464,1
9969,9139,8237,7980,9226,10286,10445,1
9826,8970,7924,7584,8756,9659,9385,1
9897,9047,7938,7600,8618,9386,9408,1
9907,9101,8113,7835,9421,10154,9936,1
9971,9120,8043,7628,8810,8906,8391,1
10102,9272,8200,7785,8978,8627,7910,1
9984,9114,8003,7530,8909,8556,7820,1
10141,9330,8226,7843,8567,8505,8016,1
10116,9268,8170,7762,8339,8324,7927,1
10003,9180,8087,7710,8709,8728,8238,1
10097,9268,8207,7842,8602,8503,8023,1
10028,9186,8100,7706,8575,8641,8358,1
10116,9264,8169,7761,8445,8287,7966,1
10028,9203,8102,7681,8641,8708,8277,1
10035,9203,8235,7859,9393,8653,8010,1
10087,9229,8127,7723,8398,8193,7949,1
10223,9401,8359,8031,9628,10903,10073,1
10194,9352,8329,7918,9823,10389,9650,1
10296,9489,8538,8298,10033,11970,10966,1
10336,9516,8506,8246,10175,11584,10550,1
10340,9524,8531,8231,9765,11276,10447,1
10266,9452,8413,8133,9627,11145,10921,1
10382,9539,8562,8280,9944,11422,10549,1
10330,9483,8503,8212,9832,11622,10729,1
10291,9476,8511,8216,10107,11635,11178,1
10276,9439,8424,8110,9622,11053,10164,1
10435,9607,8650,8434,10144,11604,10574,1
10194,9360,8378,8008,9856,10554,9713,1
10256,9437,8416,8082,9507,11515,10705,1
10313,9450,8460,8101,9933,10837,9989,1
10267,9443,8451,8183,9708,11156,10239,1
10330,9484,8476,8171,9753,11222,10389,1
10297,9455,8403,8102,9745,11232,10568,1
10330,9449,8423,8150,9634,11403,10665,1
10197,9338,8277,7840,9247,10688,9929,1
10274,9395,8411,8099,9976,11177,10459,1
10229,9392,8385,8003,10316,10978,9895,1
10275,9440,8438,8133,9985,10924,9909,1
10200,9351,8347,8078,9960,11187,10477,1
10215,9386,8377,8075,9691,11132,10487,1
10245,9422,8483,8182,10387,12113,10764,1
10274,9444,8429,8052,9736,10520,9826,1
10329,9518,8521,8260,10312,11383,10312,1
10233,9406,8444,8171,10317,11589,10574,1
10299,9453,8431,8078,9685,11026,10237,1
10266,9446,8439,8100,10215,10950,9736,1
10271,9428,8439,8099,9991,11092,10062,1
10305,9497,8570,8392,10630,12093,10810,1
10287,9429,8476,8199,10320,12115,10417,1
10278,9430,8370,8068,9442,10551,9865,1
10281,9455,8463,8159,10658,11651,10366,1
10216,9414,8469,8212,10392,11959,10696,1
10271,9423,8419,8114,9841,11366,10610,1
10216,9363,8263,7918,9248,10601,10000,1
10192,9341,8256,7915,9312,10881,10081,1
10386,9562,8611,8356,10330,11890,10879,1
10307,9455,8446,8131,9675,11427,10685,1
10200,9344,8338,7990,9956,11349,10270,1
10270,9455,8488,8290,10333,11972,10345,1
10313,9481,8552,8412,10807,12055,10435,1
10363,9549,8579,8464,10850,11964,10333,1
10379,9565,8587,8449,10834,12231,10448,1
10461,9625,8720,8644,11654,12652,10535,1
10430,9604,8739,8646,11735,12553,10212,1
10294,9469,8479,8292,10436,11468,10073,1
10336,9498,8528,8351,10609,11494,10245,1
10291,9461,8523,8395,10767,11739,10181,1
10354,9524,8558,8374,10455,11547,10125,1
