B1,B2,B3,B4,B5,B6,B7,Class
10505,9665,8692,8097,10582,10104,8662,1
10483,9669,8690,8084,10705,10097,8550,1
10483,9676,8683,8060,10658,10076,8536,1
10490,9665,8686,8086,10747,10072,8500,1
10485,9669,8695,8076,10707,10108,8531,1
10529,9689,8801,7996,12048,10600,8537,1
10503,9703,8835,8045,12301,10709,8523,1
10540,9691,8783,7994,12154,10475,8435,1
10514,9689,8805,7980,11894,10493,8574,1
10533,9676,8783,8001,11964,10502,8531,1
10524,9681,8786,7989,12076,10606,8527,1
10538,9686,8811,7999,12072,10618,8601,1
10551,9691,8794,7992,12147,10570,8535,1
10544,9701,8839,8064,12331,10843,8572,1
10520,9679,8807,8014,12171,10670,8526,1
10539,9698,8823,8042,12220,10699,8561,1
10512,9682,8804,8026,12227,10686,8447,1
10516,9671,8788,8047,12220,10713,8498,1
10532,9681,8809,8044,12163,10711,8580,1
10555,9707,8833,8087,12315,10804,8605,1
10504,9695,8780,8124,11576,10361,8517,1
10519,9693,8771,8140,11501,10407,8558,1
10545,9698,8770,8138,11509,10384,8577,1
10514,9690,8765,8113,11455,10349,8521,1
10532,9702,8770,8112,11538,10325,8531,1
10545,9693,8761,8111,11492,10337,8504,1
10530,9691,8765,8125,11554,10396,8547,1
10563,9706,8805,7989,12349,10282,8143,1
10544,9679,8741,8115,11465,10359,8564,1
10538,9698,8809,7972,12447,10306,8135,1
10530,9689,8761,8101,11534,10317,8491,1
10531,9708,8831,8019,12654,10539,8272,1
10522,9690,8825,7990,12671,10398,8144,1
10553,9710,8845,8025,12866,10523,8187,1
10546,9699,8828,8024,12781,10420,8185,1
10480,9627,8671,7985,11149,10295,8367,1
10502,9653,8734,8061,11597,10544,8448,1
10485,9638,8706,8038,11540,10462,8393,1
10475,9638,8698,8038,11232,10269,8435,1
10481,9624,8684,7992,11353,10131,8126,1
10467,9619,8669,7991,11302,10139,8210,1
10466,9648,8701,8038,11255,10264,8363,1
10491,9632,8691,8016,11332,10247,8274,1
10453,9638,8706,8060,11249,10128,8183,1
10471,9628,8675,7984,11244,10049,8097,1
10488,9647,8687,8003,11278,10309,8324,1
10452,9616,8662,7962,11251,10108,8144,1
10446,9627,8695,8063,11178,10265,8282,1
10460,9625,8691,8066,11221,10346,8344,1
10478,9613,8640,7972,10974,10103,8162,1
10466,9633,8652,8003,11109,10147,8235,1
10472,9643,8664,7950,10756,9602,8014,1
10492,9667,8691,7997,10777,9640,8084,1
10462,9651,8661,7947,10588,9580,8023,1
10494,9682,8705,8004,10762,9570,8132,1
10480,9649,8656,7941,10610,9534,8048,1
10473,9652,8662,7948,10572,9575,8106,1
10491,9679,8690,7979,10615,9538,8131,1
10493,9690,8703,8009,10670,9517,8140,1
10538,9726,8777,8167,10909,10204,8674,1
10546,9724,8777,8147,10862,10080,8599,1
10551,9730,8759,8154,10887,10186,8702,1
10530,9725,8778,8155,10826,10066,8635,1
10521,9731,8765,8161,10902,10198,8719,1
10539,9737,8760,8156,10882,10144,8672,1
10538,9734,8786,8185,10869,10254,8791,1
10542,9722,8757,8150,10805,10119,8682,1
10539,9727,8764,8155,10804,10147,8729,1
10458,9644,8775,8065,11810,10307,8325,1
10485,9644,8754,8026,11621,10115,8230,1
10488,9633,8752,8015,11655,10154,8232,1
10486,9618,8729,8008,11506,10103,8234,1
10490,9656,8810,8104,11999,10442,8333,1
10509,9659,8803,8090,12055,10447,8329,1
10509,9654,8798,8076,11912,10495,8356,1
10493,9639,8764,8015,11778,10284,8248,1
10490,9649,8762,8032,11557,10082,8180,1
10521,9688,8802,8122,11915,10311,8280,1
10501,9667,8812,8078,11958,10329,8205,1
10507,9652,8801,8064,11793,10279,8240,1
10490,9671,8793,8113,11775,10168,8247,1
10509,9667,8751,8001,11389,9724,8082,1
10521,9664,8774,8001,11395,9766,8104,1
10485,9643,8759,8015,11483,9780,8035,1
10468,9628,8691,7940,11123,9478,7830,1
10486,9631,8737,8043,11586,10092,8121,1
10477,9627,8722,7992,11433,9859,7989,1
10488,9639,8745,8046,11560,10044,8095,1
10484,9633,8722,7998,11383,9797,8000,1
10479,9634,8755,8060,11570,10114,8125,1
10496,9643,8759,8056,11533,9963,8096,1
10483,9635,8757,8073,11600,10133,8193,1
10489,9643,8755,8080,11627,10188,8206,1
10760,9918,9016,8172,12428,10399,8240,1
10771,9929,9021,8212,12263,10538,8439,1
10766,9935,9027,8207,12494,10487,8282,1
10740,9911,9026,8186,12461,10439,8227,1
10763,9932,9027,8201,12375,10448,8307,1
10782,9940,9029,8222,12414,10496,8362,1
10735,9929,9019,8209,12452,10444,8293,1
10772,9920,9029,8189,12443,10405,8256,1
10728,9901,9013,8197,12449,10394,8208,1
10744,9912,9031,8198,12441,10468,8282,1
10745,9914,9045,8204,12485,10403,8227,1
10776,9925,9043,8217,12463,10454,8329,1
10683,9819,8917,8142,11435,9843,8091,1
10699,9844,8904,8159,11163,9867,8282,1
10665,9842,8932,8168,11717,9986,8115,1
10656,9838,8924,8154,11854,9999,8008,1
10686,9827,8931,8155,11556,9866,8060,1
10680,9823,8909,8159,11618,9932,8056,1
10690,9855,8966,8199,12131,10145,8073,1
10675,9849,8958,8216,11908,10175,8162,1
10695,9844,8948,8182,11844,10039,8102,1
10569,9732,8580,7972,8808,7887,7291,1
10595,9724,8591,7977,8855,7967,7321,1
10592,9729,8605,8012,9247,8101,7339,1
10554,9717,8563,7948,8919,7957,7269,1
10578,9731,8593,7965,8934,8026,7315,1
10596,9721,8569,7955,8708,7800,7232,1
10550,9694,8530,7936,8740,7903,7230,1
10562,9713,8550,7930,8680,7785,7206,1
10598,9742,8589,7994,8928,7973,7345,1
10582,9727,8568,7987,8853,8026,7371,1
10563,9710,8540,7950,8705,7886,7298,1
10534,9683,8540,7947,8801,7869,7239,1
10453,9601,8443,7871,8398,7543,7099,1
10493,9595,8450,7876,8445,7614,7163,1
10426,9595,8460,7876,8477,7666,7171,1
10501,9594,8449,7849,8391,7576,7101,1
10454,9602,8463,7876,8465,7652,7161,1
10475,9613,8446,7868,8412,7689,7226,1
10472,9607,8444,7862,8410,7597,7158,1
10454,9598,8473,7877,8478,7624,7176,1
10447,9610,8477,7898,8526,7686,7222,1
10460,9610,8475,7889,8481,7635,7156,1
10445,9602,8459,7886,8478,7664,7178,1
10450,9596,8447,7871,8439,7669,7171,1
10584,9733,8816,8072,10776,9794,8262,1
10563,9710,8775,8027,10355,9549,8181,1
10556,9703,8727,7989,10033,9240,8093,1
10550,9703,8736,7995,10101,9256,8107,1
10531,9718,8802,8048,10790,9634,8034,1
10533,9727,8773,8002,10485,9326,7971,1
10548,9711,8741,7978,10239,9195,7988,1
10535,9709,8737,7950,10320,9170,7821,1
10713,9859,8868,8160,12252,9326,7206,1
10708,9864,8884,8191,12391,9422,7272,1
