B1,B2,B3,B4,B5,B6,B7,Class
9806,9035,8039,7748,8431,9637,9447,1
9839,9050,8059,7784,8371,9474,9526,1
9813,9041,8043,7726,8189,9376,9407,1
9834,9084,8068,7783,8339,9586,9595,1
9864,9079,8062,7776,8360,9511,9580,1
9860,9049,8028,7685,8122,9292,9436,1
9837,9063,8062,7795,8530,9755,9543,1
9836,9077,8099,7827,8538,9700,9570,1
9849,9078,8098,7830,8834,9974,9528,1
9846,9074,8059,7714,8238,9296,9309,1
9855,9069,8066,7766,8311,9500,9451,1
9800,9030,8011,7676,8423,9024,8666,1
9828,9061,8041,7681,8411,9050,8850,1
9830,9029,8001,7627,8137,8876,8707,1
9845,9070,8053,7724,8378,9233,9047,1
9823,9047,8029,7705,8450,9176,8835,1
9837,9050,8025,7672,8250,8935,8876,1
9862,9085,8054,7737,8277,9080,9081,1
9855,9062,8035,7690,8262,9159,9062,1
9860,9067,8052,7729,8462,9227,9011,1
9831,9053,8033,7629,8100,8843,8811,1
9850,9079,8038,7660,8125,8913,8922,1
9841,9046,8031,7671,8370,9052,8852,1
9844,9035,8029,7707,8568,9196,8794,1
9872,9068,8041,7704,8105,8901,8976,1
9874,9086,8050,7700,8216,8913,8968,1
9846,9095,8201,8219,8997,10283,9883,1
9844,9070,8188,8197,8954,10117,9787,1
9828,9069,8181,8140,8853,9915,9639,1
9833,9069,8201,8194,8999,10333,9862,1
9808,9054,8164,8178,8886,10091,9831,1
9814,9090,8237,8330,9203,10477,10080,1
9815,9078,8199,8191,8977,10037,9811,1
9804,9082,8195,8252,9021,10135,9865,1
9791,9076,8207,8238,9039,10252,9997,1
9825,9069,8246,8339,9187,10515,10157,1
9811,9079,8217,8280,9100,10267,10020,1
9833,9084,8221,8353,9113,10348,10064,1
9843,9100,8236,8322,9134,10412,10101,1
9830,9084,8221,8238,9022,10251,9982,1
9810,9081,8225,8311,9168,10459,10147,1
9846,9087,8229,8287,9124,10346,10048,1
10094,9387,8485,8383,9181,11543,11938,1
10085,9404,8521,8457,9213,11707,12040,1
10093,9429,8526,8480,9319,11796,12122,1
10092,9396,8504,8401,9168,11685,12049,1
9927,9151,8193,7908,9192,10506,10138,1
9899,9153,8209,7896,9154,10613,10103,1
9926,9145,8219,7911,9177,10492,10164,1
9911,9145,8192,7881,9150,10517,10107,1
9880,9121,8125,7761,8798,9817,9558,1
9882,9107,8143,7799,8917,10161,9867,1
9882,9125,8187,7868,9094,10405,10069,1
9888,9125,8168,7800,8894,10093,9856,1
9895,9100,8102,7699,8650,9766,9547,1
9892,9107,8119,7705,8741,10041,9758,1
9900,9087,8088,7667,8512,9364,9266,1
9874,9072,8075,7630,8353,9143,9059,1
9749,8953,7916,7576,8032,9395,9418,1
9740,8965,7914,7610,8175,9476,9415,1
9754,8963,7951,7744,8577,9595,9342,1
9735,8966,7922,7632,8222,9305,9311,1
9760,8981,7951,7629,8181,9339,9473,1
9770,8974,7923,7568,7929,9196,9406,1
9734,8959,7910,7575,8026,9112,9177,1
9717,8953,7911,7570,8078,9131,9284,1
9817,9009,8011,7481,8484,8265,7876,1
9811,9012,8015,7468,8503,8271,7843,1
9829,9018,8026,7481,8610,8294,7752,1
9805,9028,8040,7498,8621,8267,7744,1
9846,9001,7992,7490,8535,8225,7731,1
9751,8962,7918,7547,7882,9153,9431,1
9743,8998,7966,7657,8154,9325,9559,1
9761,8969,7926,7561,7927,9141,9344,1
9765,8986,7948,7598,7974,9166,9436,1
9824,9021,8021,7484,8567,8215,7681,1
9804,9031,8022,7541,8621,8439,7874,1
9804,9020,8029,7505,8529,8305,7886,1
9801,9016,8027,7492,8586,8284,7773,1
9803,9028,8035,7516,8667,8379,7801,1
9803,9002,8002,7459,8540,8187,7657,1
9820,9008,8014,7498,8573,8250,7722,1
9757,9006,7971,7669,8128,9715,9799,1
9761,8989,7951,7620,7986,9147,9526,1
9752,8977,7935,7598,7899,9117,9494,1
9758,8969,7920,7548,7809,9004,9422,1
9812,9044,8022,7523,8572,8656,8016,1
9812,9020,8038,7509,8644,8291,7748,1
9817,9028,8028,7508,8515,8255,7846,1
9917,9177,8273,7973,9266,10268,9500,1
9909,9157,8274,7951,9413,10220,9399,1
9943,9210,8303,8014,9247,10195,9687,1
9931,9191,8318,7994,9336,10249,9583,1
9944,9216,8314,8041,9382,10368,9708,1
9951,9205,8314,8034,9289,10188,9565,1
9966,9228,8319,8050,9200,10133,9626,1
9956,9216,8316,8086,9271,10331,9740,1
9824,9032,8003,7596,8194,8335,8103,1
9813,9034,7990,7626,8327,8646,8368,1
9923,9117,8097,7756,8419,9106,8639,1
9822,9014,7998,7608,8243,8582,8335,1
9819,9032,7990,7608,8260,8704,8398,1
9824,9003,8015,7617,8332,8733,8373,1
9806,9009,8037,7700,8539,8769,8296,1
9813,9032,8004,7622,8291,8476,8202,1
9833,9027,8000,7636,8271,8677,8432,1
9825,9006,7973,7557,8091,8428,8329,1
9825,9001,7979,7565,8162,8532,8345,1
9817,9023,8005,7637,8312,8674,8324,1
9852,9125,8181,7917,8931,10064,9496,1
9874,9117,8148,7870,8839,9842,9290,1
9860,9083,8093,7769,8571,9545,9136,1
9842,9072,8056,7709,8441,9342,9032,1
9850,9077,8083,7751,8467,9419,9091,1
9849,9083,8070,7734,8392,9369,9132,1
9875,9099,8134,7840,8802,9827,9212,1
9858,9076,8065,7751,8518,9420,9030,1
9845,9074,8049,7690,8346,9328,9032,1
9860,9094,8096,7756,8529,9443,9147,1
9843,9074,8054,7713,8369,9364,9122,1
9850,9109,8133,7862,8801,9892,9318,1
9837,9098,8133,7839,8730,9842,9290,1
9859,9094,8129,7820,8742,9709,9203,1
9862,9065,8068,7732,8463,9367,8992,1
9851,9077,8059,7715,8447,9407,9076,1
9847,9087,8067,7734,8491,9363,9075,1
9837,9074,8042,7707,8397,9349,9062,1
9814,9061,8037,7710,8432,9355,9032,1
9860,9067,8059,7738,8482,9443,9114,1
9823,9061,8053,7714,8391,9334,9027,1
9855,9101,8126,7855,8771,9768,9330,1
9864,9095,8165,7912,8979,10031,9434,1
9853,9063,8051,7700,8404,9417,9170,1
9926,9192,8299,8188,9386,11939,11560,1
9971,9234,8324,8197,9515,12129,11685,1
9907,9177,8226,8019,9200,11645,11264,1
9913,9190,8260,8109,9306,11659,11383,1
9863,9093,8110,7835,8930,10927,10484,1
9878,9113,8142,7915,9005,11130,10629,1
9912,9170,8249,8026,8840,9700,9378,1
9933,9154,8209,7956,8638,9529,9398,1
9918,9154,8209,7952,8647,9451,9163,1
9910,9142,8173,7868,8505,9348,9184,1
9906,9118,8149,7847,8469,9373,9314,1
9906,9136,8212,7970,8816,9565,9242,1
9856,9134,8192,7942,8677,9419,9130,1
9879,9127,8180,7926,8677,9244,8956,1
9908,9136,8188,7926,8592,9411,9167,1
9902,9111,8163,7873,8501,9499,9294,1
9894,9142,8196,7920,8558,9421,9339,1
9883,9132,8166,7886,8561,9417,9230,1
9910,9141,8211,7940,8669,9503,9412,1
9877,9115,8158,7898,8550,9332,9165,1
9882,9121,8127,7847,8362,9098,8989,1
9906,9170,8166,7914,8468,9852,9899,1
9894,9155,8155,7903,8417,9891,9919,1
9921,9173,8188,7957,8603,10150,10125,1
9914,9168,8216,8027,8695,10349,10294,1
9907,9180,8216,8005,8704,10073,10003,1
9892,9147,8147,7912,8607,9881,9758,1
9894,9148,8142,7891,8514,9945,9844,1
9896,9179,8152,7899,8455,9955,9950,1
9867,9114,8109,7833,8386,9881,9724,1
9875,9135,8095,7797,8247,9566,9594,1
9888,9151,8103,7849,8370,9845,9908,1
9942,9194,8210,8002,8752,10328,10184,1
9906,9187,8223,8012,8752,10270,10101,1
9909,9175,8195,7987,8740,10281,10097,1
9876,9100,8075,7753,8220,9602,9589,1
9880,9135,8180,8003,8894,10706,10504,1
9884,9153,8214,8061,8994,10862,10664,1
9900,9153,8180,7963,8795,10652,10588,1
9899,9186,8289,8152,9196,10964,10667,1
9918,9200,8292,8143,8980,10906,10745,1
9891,9176,8280,8143,9208,10984,10583,1
10075,9334,8436,8403,9092,11419,11779,1
10074,9327,8446,8402,9136,11566,11910,1
10060,9336,8432,8391,9093,11430,11813,1
10003,9310,8373,8306,8923,11165,11543,1
10025,9327,8412,8341,9004,11312,11686,1
10035,9295,8394,8304,8955,11173,11548,1
10155,9410,8375,7975,8273,9811,18993,1
10071,9294,8293,7917,8239,9925,15051,1
9998,9232,8197,7839,8087,9505,13063,1
10179,9424,8390,8011,8311,11310,32130,1
10229,9499,8486,8116,8284,19274,41978,1
10134,9365,8358,7996,8184,9942,17363,1
10203,9453,8451,8077,8218,11454,28092,1
10220,9486,8488,8120,8583,37434,52688,1
9927,9140,8135,7788,8821,11200,12229,1
9902,9100,8080,7702,8715,11068,12314,1
10230,9556,8727,8705,9702,11637,11634,1
10193,9527,8702,8693,9767,11820,11817,1
10125,9423,8568,8440,9252,11280,11286,1
10159,9474,8650,8579,9477,11400,11463,1
10210,9548,8712,8703,9774,11848,11863,1
10096,9404,8507,8385,9149,10974,11095,1
9933,9234,8284,8123,8771,11084,11192,1
9967,9293,8348,8217,8916,11126,11372,1
9956,9227,8276,8130,8749,11053,11293,1
9968,9283,8326,8209,8906,11219,11510,1
9950,9266,8291,8169,8863,10832,11078,1
9938,9245,8296,8154,8886,10933,11022,1
9960,9251,8302,8146,8845,11007,11277,1
9950,9250,8286,8091,8661,11026,11348,1
9935,9223,8253,8054,8609,10919,11248,1
9928,9227,8244,8065,8668,10746,10968,1
9925,9190,8218,8008,8563,10775,10956,1
9903,9188,8164,7956,8425,10571,10809,1
9929,9226,8276,8091,8660,10915,11210,1
9916,9226,8261,8106,8769,10804,11010,1
9935,9256,8289,8147,8790,11042,11260,1
9960,9235,8262,8106,8703,10879,11215,1
9887,9158,8157,7877,8424,9745,9620,1
9896,9152,8122,7838,8414,9921,9811,1
9889,9149,8142,7892,8638,9785,9793,1
9910,9154,8127,7883,8543,9801,9702,1
9901,9141,8091,7826,8358,9611,9670,1
9916,9142,8117,7835,8441,9779,9722,1
9892,9131,8055,7747,8069,9202,9435,1
9892,9139,8110,7813,8302,9486,9531,1
9799,9047,7988,7605,8092,8712,8659,1
9816,9044,8012,7625,8088,8839,8815,1
9807,9042,7983,7597,8017,8625,8630,1
9804,8998,7964,7563,8080,8626,8522,1
9828,9088,8104,7887,8727,10312,9953,1
9832,9089,8111,7912,8684,10368,10093,1
9892,9113,8149,7949,8647,10491,10391,1
9793,9005,7966,7559,8011,8528,8463,1
9790,9006,7959,7542,7983,8550,8530,1
9769,8985,7934,7510,7876,8409,8392,1
9818,9003,7957,7544,7932,8468,8511,1
9857,9117,8115,7895,8674,10375,10124,1
9812,9023,7970,7555,7985,8559,8514,1
9806,8991,7930,7475,7775,8167,8155,1
9792,9017,7946,7520,7785,8149,8081,1
9777,8997,7923,7485,7770,8194,8215,1
9845,9107,8121,7915,8781,10483,10118,1
9875,9100,8099,7893,8801,10550,10087,1
9851,9090,8084,7845,8581,9796,9533,1
9838,9096,8113,7871,8716,10290,9943,1
9852,9098,8110,7886,8735,10137,9766,1
9875,9166,8177,8078,9097,10610,9995,1
9933,9183,8261,8199,9185,10870,10338,1
9935,9218,8292,8193,9097,10852,10597,1
9960,9247,8351,8262,9118,11025,10921,1
9838,9067,8043,7715,8353,9602,9621,1
9831,9066,8042,7720,8343,9529,9423,1
9823,9058,8003,7642,8107,9472,9567,1
9787,9031,7985,7574,7972,9013,9148,1
9797,9034,7963,7580,7964,9060,9231,1
9834,9089,8059,7706,8280,9727,9688,1
9827,9033,7969,7573,7904,8875,9096,1
9811,9054,8006,7623,8089,9079,9157,1
9848,9030,7975,7550,7858,8804,9004,1
9791,9029,7963,7576,7892,9022,9094,1
9846,9058,8004,7650,8058,9259,9341,1
9820,9065,8040,7686,8209,9257,9217,1
9819,9024,7966,7583,7877,8876,9105,1
9815,9022,7958,7539,7835,8786,8897,1
9841,9088,8027,7664,8102,9411,9540,1
9824,9070,8006,7627,8072,9115,9290,1
9833,9067,8012,7663,8157,9200,9196,1
9828,9068,8050,7709,8350,9215,9062,1
9831,9076,8049,7707,8345,9279,9137,1
9821,9065,8023,7661,8095,9455,9707,1
9824,9042,7993,7611,8019,9230,9414,1
9837,9045,7995,7623,8017,9200,9356,1
9830,9079,8046,7690,8284,9321,9256,1
9826,9047,8043,7672,8143,9423,9563,1
9838,9075,8076,7734,8408,9241,9091,1
9827,9074,8024,7669,8117,9525,9670,1
9808,9064,8059,7712,8277,9434,9478,1
9814,9069,8041,7705,8295,9260,9220,1
9835,9089,8046,7702,8215,9659,9748,1
9824,9060,8009,7628,8075,9288,9420,1
9804,9048,8059,7786,8396,9304,9159,1
9785,9041,8048,7783,8429,9411,9184,1
9785,9058,8085,7834,8524,9626,9448,1
9775,9029,8011,7708,8132,9207,9082,1
9787,9036,8013,7716,8163,9203,9094,1
9805,9058,8034,7769,8368,9260,9154,1
9774,9053,8035,7740,8276,9255,9110,1
9798,9044,8048,7780,8400,9284,9108,1
9817,9079,8099,7860,8473,9776,9775,1
9788,9057,8077,7799,8409,9556,9344,1
9863,9091,8122,7866,8524,9950,9860,1
9768,9064,8065,7806,8547,9408,8967,1
9794,9045,8051,7748,8268,9281,9067,1
9745,9019,8036,7764,8495,9234,8830,1
9801,9055,8066,7789,8411,9563,9387,1
9765,9022,8023,7762,8503,9371,8890,1
9780,9032,8002,7730,8276,9297,9104,1
9788,9035,8050,7795,8566,9364,8872,1
9785,9052,8056,7804,8486,9434,9197,1
9803,9075,8111,7929,8841,9884,9554,1
9845,9081,8078,7736,8581,9788,9598,1
9858,9079,8082,7728,8619,9707,9522,1
9837,9068,8092,7719,8722,9592,9366,1
9848,9065,8075,7713,8612,9526,9342,1
9824,9059,8050,7685,8469,9232,9081,1
9825,9050,8058,7708,8489,9340,9212,1
9832,9064,8054,7674,8368,9344,9301,1
9846,9065,8073,7716,8533,9626,9489,1
9826,9055,8059,7658,8451,9142,9039,1
9850,9068,8056,7682,8441,9555,9472,1
